date;name;Day;Venue;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;PAtt;Cmp%;ProgP;Carries;ProgC;Succ;AttD;Rating;MOTM
14/12/2021;Phil Foden;Tue;Home;90;1;1;0;0;6;1;0;0;73;14;0;1;0;0,4;0,4;0,4;9;2;53;62;85,5;7;60;6;2;3;9,7;
12/11/2021;Phil Foden;Sat;Home;35;0;0;0;0;2;1;0;0;30;4;1;0;0;0,6;0,6;0,1;2;1;23;26;88,5;1;23;0;1;1;7;
12/04/2021;Phil Foden;Sat;Away;74;0;1;0;0;2;1;0;0;61;9;2;0;3;0,3;0,3;1;6;2;42;50;84;6;41;6;0;1;8,5;
21/11/2021;Phil Foden;Sun;Home;57;0;0;0;0;1;0;0;0;57;7;0;1;0;0,2;0,2;0,4;2;0;42;52;80,8;5;46;6;1;1;7;
11/06/2021;Phil Foden;Sat;Away;90;0;0;0;0;1;0;0;0;77;13;1;3;0;0,2;0,2;0,3;2;0;56;68;82,4;3;59;10;2;2;7,4;
30/10/2021;Phil Foden;Sat;Home;90;0;0;0;0;0;0;0;0;55;24;0;0;0;0;0;0,2;1;0;31;43;72,1;2;35;3;1;2;5,4;
23/10/2021;Phil Foden;Sat;Away;90;2;1;0;0;8;4;0;0;53;16;0;1;1;1,9;1,9;0,4;3;1;32;38;84,2;2;39;8;0;1;9,3;1
16/10/2021;Phil Foden;Sat;Home;90;0;0;0;0;3;2;0;0;75;22;1;0;1;0,2;0,2;0;3;1;52;64;81,3;3;63;8;1;2;6,8;
10/03/2021;Phil Foden;Sun;Away;90;1;0;0;0;2;2;0;0;47;19;0;2;3;0,5;0,5;0,2;2;0;25;35;71,4;1;30;7;1;3;7,8;
25/09/2021;Phil Foden;Sat;Away;86;0;0;0;0;0;0;0;0;32;27;1;0;0;0;0;0,6;4;0;19;26;73,1;1;20;2;1;1;7,1;
18/09/2021;Phil Foden;Sat;Home;19;0;0;0;0;1;1;0;0;17;5;0;0;0;0,1;0,1;0;0;0;13;16;81,3;2;10;0;0;0;6,1;
26/02/2022;Raheem Sterling;Sat;Away;76;0;0;0;0;0;0;0;0;39;9;1;1;1;0;0;0;3;0;23;30;76,7;3;31;6;0;1;6,4;
19/02/2022;Raheem Sterling;Sat;Home;67;0;0;0;0;1;0;0;0;51;12;3;0;0;0,1;0,1;0,1;2;0;32;42;76,2;1;42;6;2;6;6,5;
02/12/2022;Raheem Sterling;Sat;Away;90;3;0;0;1;4;4;1;0;60;14;0;2;1;1,9;1;0;3;1;32;42;76,2;4;50;12;1;4;9,3;1
02/09/2022;Raheem Sterling;Wed;Home;90;0;0;0;0;2;1;0;0;61;16;2;3;0;0,4;0,4;0,1;6;2;36;45;80;1;57;9;1;3;8,1;
22/01/2022;Raheem Sterling;Sat;Away;59;0;0;0;0;2;1;0;0;42;12;3;0;1;0,6;0,6;0;1;0;25;30;83,3;3;33;6;1;2;6,3;
15/01/2022;Raheem Sterling;Sat;Home;90;0;0;0;0;1;0;0;0;45;11;1;0;0;0;0;0,2;4;0;25;31;80,6;2;43;11;2;5;6,3;
01/01/2022;Raheem Sterling;Sat;Away;90;0;0;0;0;1;0;0;0;66;12;3;1;1;0;0;0,2;3;0;42;48;87,5;2;53;7;2;6;7,9;
26/12/2021;Raheem Sterling;Sun;Home;90;2;0;1;1;2;2;0;0;56;11;1;1;1;1,6;0,8;0;1;1;38;42;90,5;0;53;5;4;7;9,3;1
19/12/2021;Raheem Sterling;Sun;Away;90;1;0;0;0;3;2;0;0;44;9;0;0;1;0,8;0,8;0;2;0;32;35;91,4;2;36;5;1;3;7,6;
12/11/2021;Raheem Sterling;Sat;Home;90;1;0;1;1;2;2;0;0;58;15;1;0;0;0,9;0,2;1,1;4;0;41;46;89,1;6;54;14;2;6;8,6;
12/04/2021;Raheem Sterling;Sat;Away;90;1;0;0;0;6;3;0;0;76;9;1;0;2;1;1;0,3;6;0;51;59;86,4;8;69;13;3;8;8,7;
12/01/2021;Raheem Sterling;Wed;Away;90;0;1;0;0;0;0;0;0;61;12;3;1;1;0;0;0,2;7;1;34;45;75,6;6;56;10;6;9;7,9;
28/11/2021;Raheem Sterling;Sun;Home;86;0;0;0;0;2;0;0;0;49;13;0;0;2;0,1;0,1;0,3;5;0;30;37;81,1;4;39;15;0;1;6,8;
21/11/2021;Raheem Sterling;Sun;Home;90;1;0;0;0;3;2;0;0;62;14;0;1;1;0,8;0,8;0,2;1;0;35;40;87,5;6;50;6;1;5;8,2;
30/10/2021;Raheem Sterling;Sat;Home;13;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0,1;1;0;4;7;57,1;0;8;2;0;0;6,2;
16/10/2021;Raheem Sterling;Sat;Home;90;0;0;0;0;1;0;0;0;38;22;1;1;0;0,1;0,1;0;3;0;28;32;87,5;2;31;3;1;3;7;
10/03/2021;Raheem Sterling;Sun;Away;25;0;0;0;0;0;0;0;0;8;7;1;0;0;0;0;0,1;1;0;4;6;66,7;0;8;2;1;1;6,5;
25/09/2021;Raheem Sterling;Sat;Away;4;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;2;2;100;1;3;0;0;1;0;
18/09/2021;Raheem Sterling;Sat;Home;90;0;0;0;0;4;0;0;0;31;14;1;1;1;0,2;0,2;0;4;0;17;19;89,5;3;27;4;2;3;6,7;
09/11/2021;Raheem Sterling;Sat;Away;27;0;0;0;0;1;0;0;0;14;4;0;0;0;0,1;0,1;0,2;1;0;3;6;50;1;8;2;0;1;6,2;
28/08/2021;Raheem Sterling;Sat;Home;33;0;0;0;0;4;2;0;0;30;2;1;0;0;0,6;0,6;0,1;3;0;18;23;78,3;2;24;5;1;1;6,8;
21/08/2021;Raheem Sterling;Sat;Home;30;1;0;0;0;2;1;0;0;14;2;0;0;0;0,6;0,6;0;1;0;8;9;88,9;0;12;2;0;0;7,2;
15/08/2021;Raheem Sterling;Sun;Away;69;0;0;0;0;1;1;0;0;38;7;1;0;0;0;0;0;2;0;25;28;89,3;1;36;6;0;2;6,2;
14/03/2022;Jack Grealish;Mon;Away;90;0;0;0;0;2;0;1;0;46;13;1;1;1;0,1;0,1;1,2;4;0;28;35;80;2;38;9;2;2;7,3;
03/06/2022;Jack Grealish;Sun;Home;90;0;0;0;0;1;0;0;0;58;13;1;3;3;0;0;0,5;9;2;40;47;85,1;7;43;15;1;2;7,5;
02/09/2022;Jack Grealish;Wed;Home;24;0;0;0;0;0;0;0;0;25;10;0;0;0;0;0;0;0;0;22;22;100;1;23;2;0;0;6,5;
22/01/2022;Jack Grealish;Sat;Away;90;0;0;0;0;2;0;0;0;52;21;1;0;0;0,1;0,1;0;2;0;35;42;83,3;3;45;14;1;1;7,1;
15/01/2022;Jack Grealish;Sat;Home;90;0;0;0;0;2;2;0;0;46;13;2;0;2;0,3;0,3;0,1;4;0;26;31;83,9;3;40;8;3;4;7,2;
29/12/2021;Jack Grealish;Wed;Away;90;0;0;0;0;0;0;0;0;61;8;0;2;0;0;0;0;3;0;48;51;94,1;1;53;9;1;2;7;
14/12/2021;Jack Grealish;Tue;Home;90;1;0;0;0;3;2;0;0;57;20;0;1;1;0,4;0,4;0,1;8;2;42;43;97,7;3;41;14;2;4;8,5;
12/11/2021;Jack Grealish;Sat;Home;73;0;0;0;0;3;0;0;0;46;10;0;0;0;0,5;0,5;0,1;6;0;33;39;84,6;2;40;11;0;0;6,8;
12/04/2021;Jack Grealish;Sat;Away;67;0;0;0;0;5;3;0;0;46;5;0;0;1;0,7;0,7;0,1;2;0;33;36;91,7;2;46;17;0;0;7,7;
12/01/2021;Jack Grealish;Wed;Away;4;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;7;9;77,8;0;10;2;0;1;0;
30/10/2021;Jack Grealish;Sat;Home;77;0;0;0;0;1;0;0;0;55;10;0;0;0;0;0;0,3;5;0;34;47;72,3;6;48;17;0;1;7,2;
23/10/2021;Jack Grealish;Sat;Away;76;0;1;0;0;3;2;0;0;42;12;1;1;0;0,3;0,3;0,9;7;1;24;27;88,9;2;39;15;2;3;8,3;
10/03/2021;Jack Grealish;Sun;Away;65;0;0;0;0;1;0;0;0;27;12;0;0;1;0;0;0;0;0;21;22;95,5;0;16;6;0;1;6,8;
25/09/2021;Jack Grealish;Sat;Away;86;0;0;0;0;3;2;0;0;54;17;1;1;2;0,5;0,5;0,1;6;0;25;35;71,4;1;48;11;2;4;7,4;
18/09/2021;Jack Grealish;Sat;Home;90;0;0;0;0;0;0;0;0;53;10;3;0;0;0;0;0,2;6;0;35;43;81,4;3;50;13;2;5;7,5;
09/11/2021;Jack Grealish;Sat;Away;90;0;0;0;0;3;1;0;0;54;13;1;0;0;0,2;0,2;0,3;9;0;39;46;84,8;8;49;14;1;1;7,6;
28/08/2021;Jack Grealish;Sat;Home;90;0;1;0;0;1;0;0;0;74;10;0;1;0;0;0;0,9;7;1;61;67;91;3;65;17;0;2;8,5;
21/08/2021;Jack Grealish;Sat;Home;74;1;0;0;0;1;1;0;0;55;10;1;0;2;0,8;0,8;0;2;0;42;48;87,5;7;51;23;3;4;8,4;1
15/08/2021;Jack Grealish;Sun;Away;90;0;0;0;0;3;1;1;0;60;7;1;1;0;0,2;0,2;0,1;5;0;43;48;89,6;3;54;13;3;3;7,8;
14/03/2022;Riyad Mahrez;Mon;Away;90;0;0;0;0;4;2;0;0;68;13;1;0;1;0,4;0,4;0;1;0;47;59;79,7;3;51;12;0;0;6,9;
03/06/2022;Riyad Mahrez;Sun;Home;90;2;0;0;0;8;4;0;0;54;7;0;1;1;1;1;0;1;0;41;43;95,3;1;37;6;2;3;9,2;
26/02/2022;Riyad Mahrez;Sat;Away;14;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;4;5;80;0;5;1;0;0;6,1;
19/02/2022;Riyad Mahrez;Sat;Home;23;1;0;1;1;1;0;0;0;29;0;0;0;0;0,8;0;0;1;0;19;24;79,2;3;24;3;1;1;7,4;
02/12/2022;Riyad Mahrez;Sat;Away;83;0;0;0;0;2;1;0;0;57;4;0;1;1;0,2;0,2;0,1;4;0;40;47;85,1;3;45;12;2;3;8,1;
02/09/2022;Riyad Mahrez;Wed;Home;66;1;0;1;1;0;0;0;0;49;6;0;1;0;0,8;0;0;0;0;30;43;69,8;1;39;3;1;2;7,6;
01/01/2022;Riyad Mahrez;Sat;Away;90;1;0;1;1;1;0;0;0;60;3;0;0;0;0,8;0,1;0,1;5;1;46;51;90,2;4;47;8;0;0;8,2;
26/12/2021;Riyad Mahrez;Sun;Home;90;1;1;1;1;4;0;0;0;68;14;2;0;2;1,1;0,3;0,3;4;1;42;55;76,4;6;49;5;2;2;8,5;
19/12/2021;Riyad Mahrez;Sun;Away;76;1;1;0;0;2;1;0;0;44;11;0;1;3;0,3;0,3;0,3;5;1;29;36;80,6;4;34;4;1;3;8,8;
14/12/2021;Riyad Mahrez;Tue;Home;90;1;1;0;0;5;3;0;0;59;7;0;2;1;0,4;0,4;0,8;5;1;35;44;79,5;5;48;14;3;6;9,2;
12/04/2021;Riyad Mahrez;Sat;Away;23;0;0;0;0;0;0;0;0;25;3;0;0;0;0;0;0,1;1;0;19;23;82,6;1;23;1;0;0;6,2;
12/01/2021;Riyad Mahrez;Wed;Away;90;0;0;0;0;2;1;0;0;61;8;0;0;1;0,1;0,1;0,1;3;0;42;56;75;2;39;9;0;0;7,9;
28/11/2021;Riyad Mahrez;Sun;Home;90;0;0;0;0;2;0;0;0;66;26;0;1;2;0,2;0,2;0,2;4;1;53;60;88,3;1;54;6;0;1;7,6;
21/11/2021;Riyad Mahrez;Sun;Home;33;0;0;0;0;2;1;0;0;35;8;1;0;1;0,1;0,1;0;0;0;26;28;92,9;2;27;3;1;2;6,3;
30/10/2021;Riyad Mahrez;Sat;Home;13;0;0;0;0;1;0;0;0;16;3;0;0;1;0,1;0,1;0;0;0;11;12;91,7;0;13;2;0;0;5,7;
23/10/2021;Riyad Mahrez;Sat;Away;4;1;0;0;0;1;1;0;0;10;1;0;0;0;0,3;0,3;0;0;0;8;8;100;0;7;1;0;0;7,6;
16/10/2021;Riyad Mahrez;Sat;Home;90;0;0;0;0;4;1;0;0;85;13;0;1;0;0,4;0,4;0,2;2;0;57;68;83,8;6;68;14;2;5;6,6;
25/09/2021;Riyad Mahrez;Sat;Away;10;0;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;0;1;1;100;0;3;0;0;1;0;
18/09/2021;Riyad Mahrez;Sat;Home;24;0;0;0;0;1;0;0;0;20;0;0;0;0;0;0;0;2;0;12;17;70,6;4;16;1;2;2;6,6;
28/08/2021;Riyad Mahrez;Sat;Home;30;0;1;0;0;2;1;0;0;37;5;0;0;0;0,1;0,1;0,8;5;1;27;34;79,4;5;32;8;2;2;7,9;
21/08/2021;Riyad Mahrez;Sat;Home;16;1;0;0;0;2;1;0;0;13;4;1;0;0;0,6;0,6;0;1;0;8;8;100;1;8;0;0;0;7,2;
15/08/2021;Riyad Mahrez;Sun;Away;78;0;0;0;0;2;0;0;0;44;5;1;0;0;0,4;0,4;0;4;0;30;35;85,7;0;36;7;1;1;6,8;
26/02/2022;Gabriel Jesus;Sat;Away;14;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;2;2;100;0;1;0;0;0;6,2;
22/01/2022;Gabriel Jesus;Sat;Away;31;0;0;0;0;1;0;0;0;25;4;0;4;0;0,1;0,1;0;1;1;13;17;76,5;0;22;2;1;1;7;
15/01/2022;Gabriel Jesus;Sat;Home;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;50;1;2;0;0;0;0;
01/01/2022;Gabriel Jesus;Sat;Away;62;0;0;0;0;1;0;0;0;21;6;0;0;0;0,1;0,1;0;1;0;12;14;85,7;1;19;1;2;2;7;
29/12/2021;Gabriel Jesus;Wed;Away;90;0;0;0;0;3;1;0;0;63;7;1;0;3;0,1;0,1;0;1;0;35;44;79,5;2;56;13;2;4;7,3;
19/12/2021;Gabriel Jesus;Sun;Away;90;0;1;0;0;3;1;0;0;38;9;1;0;0;0,7;0,7;0,9;5;2;28;28;100;1;33;8;2;2;8;
12/11/2021;Gabriel Jesus;Sat;Home;90;0;0;0;0;3;1;0;0;33;14;0;0;1;0,3;0,3;0,1;2;0;21;23;91,3;0;25;4;1;2;7;
12/04/2021;Gabriel Jesus;Sat;Away;16;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;12;13;92,3;0;17;4;0;0;6,6;
12/01/2021;Gabriel Jesus;Wed;Away;86;0;1;0;0;6;1;0;0;38;7;1;1;0;0,4;0,4;0,2;3;1;23;25;92;3;33;9;5;6;8,1;
28/11/2021;Gabriel Jesus;Sun;Home;90;0;0;0;0;4;1;0;0;50;14;0;0;1;0,4;0,4;0,1;4;1;30;38;78,9;5;37;12;1;3;7;
11/06/2021;Gabriel Jesus;Sat;Away;90;0;0;0;0;1;1;0;0;73;27;1;3;2;0,4;0,4;0,2;5;0;46;53;86,8;3;56;9;1;4;6,8;
30/10/2021;Gabriel Jesus;Sat;Home;90;0;0;0;0;4;1;0;0;40;25;1;0;0;0,4;0,4;0,2;3;0;26;28;92,9;2;33;4;2;4;6,8;
23/10/2021;Gabriel Jesus;Sat;Away;86;0;1;0;0;3;2;0;0;52;11;1;0;5;0,4;0,4;0,2;4;1;32;37;86,5;1;39;3;3;3;8;
10/03/2021;Gabriel Jesus;Sun;Away;90;0;1;0;0;2;0;0;0;50;11;1;1;1;0,1;0,1;0,3;5;2;31;38;81,6;5;36;12;1;1;7,9;
25/09/2021;Gabriel Jesus;Sat;Away;90;1;0;0;0;3;1;0;0;58;23;2;1;3;0,7;0,7;0;1;0;36;46;78,3;1;47;7;2;2;8,1;1
18/09/2021;Gabriel Jesus;Sat;Home;66;0;0;0;0;3;0;0;0;34;17;1;1;3;0,3;0,3;0;0;0;15;22;68,2;1;24;2;1;1;6,4;
09/11/2021;Gabriel Jesus;Sat;Away;83;0;0;0;0;2;2;0;0;40;10;1;0;0;0,3;0,3;0;1;0;19;31;61,3;2;34;7;0;3;6,3;
28/08/2021;Gabriel Jesus;Sat;Home;60;1;1;0;0;1;1;0;0;38;3;0;0;1;0,5;0,5;0,6;6;2;31;34;91,2;5;31;3;0;1;8,6;
21/08/2021;Gabriel Jesus;Sat;Home;90;0;2;0;0;1;0;0;0;86;22;1;1;0;0,1;0,1;0,6;3;2;67;74;90,5;7;69;12;0;2;8,8;
15/08/2021;Gabriel Jesus;Sun;Away;21;0;0;0;0;0;0;0;0;7;3;1;0;0;0;0;0,1;1;0;6;6;100;1;6;2;0;0;6,3;
14/03/2022;Kevin De Bruyne;Mon;Away;90;0;0;0;0;2;2;0;0;69;12;0;0;1;0,2;0,2;0,2;4;0;45;59;76,3;5;56;4;1;1;8;
03/06/2022;Kevin De Bruyne;Sun;Home;79;2;1;0;0;6;4;0;0;58;8;0;0;1;1;1;0,3;6;1;42;48;87,5;6;32;11;0;1;9,5;1
26/02/2022;Kevin De Bruyne;Sat;Away;90;0;0;0;0;2;2;0;0;56;19;1;1;0;0,1;0,1;0,3;3;0;32;46;69,6;1;33;3;2;2;7,1;
19/02/2022;Kevin De Bruyne;Sat;Home;90;0;0;0;0;0;0;0;0;101;16;1;1;2;0;0;0;3;0;67;95;70,5;8;79;10;1;2;7,1;
02/09/2022;Kevin De Bruyne;Wed;Home;90;1;0;0;0;1;1;0;0;87;17;1;3;3;0,2;0,2;0,2;4;0;60;76;78,9;7;68;6;0;2;8,6;1
22/01/2022;Kevin De Bruyne;Sat;Away;90;0;1;0;0;4;1;0;0;92;17;2;0;4;0,2;0,2;0,2;5;1;59;77;76,6;7;63;7;2;4;8,6;1
15/01/2022;Kevin De Bruyne;Sat;Home;83;1;0;0;0;4;3;0;0;52;21;2;0;5;0,1;0,1;0;4;2;24;38;63,2;1;36;6;4;5;8,5;1
01/01/2022;Kevin De Bruyne;Sat;Away;90;0;0;0;0;1;0;0;0;62;10;0;0;2;0;0;0,2;4;0;41;50;82;7;39;7;1;2;7,2;
29/12/2021;Kevin De Bruyne;Wed;Away;90;0;1;0;0;4;1;0;0;82;14;1;0;3;0,1;0,1;0,5;4;1;50;68;73,5;6;55;6;0;0;8,6;
26/12/2021;Kevin De Bruyne;Sun;Home;70;1;0;0;0;3;1;0;0;55;17;2;0;0;0,2;0,2;0,2;5;1;35;47;74,5;5;31;6;0;0;8,2;
19/12/2021;Kevin De Bruyne;Sun;Away;90;0;0;0;0;1;0;0;0;64;8;2;0;0;0;0;0,5;7;0;47;57;82,5;8;45;6;2;2;8,2;
14/12/2021;Kevin De Bruyne;Tue;Home;90;2;0;0;0;9;4;0;0;76;18;1;1;0;0,7;0,7;0,9;8;0;46;60;76,7;6;36;14;0;0;9,4;1
12/11/2021;Kevin De Bruyne;Sat;Home;17;0;0;0;0;0;0;0;0;28;7;1;0;1;0;0;0,1;2;0;17;24;70,8;3;24;5;0;1;6,5;
12/04/2021;Kevin De Bruyne;Sat;Away;24;0;0;0;0;1;0;0;0;24;3;0;0;1;0,1;0,1;0;3;0;17;20;85;2;19;1;0;1;6,4;
11/06/2021;Kevin De Bruyne;Sat;Away;90;0;0;0;0;4;1;0;0;108;24;1;1;2;0,5;0,5;0,3;6;0;85;96;88,5;7;75;7;0;0;8,1;
30/10/2021;Kevin De Bruyne;Sat;Home;58;0;0;0;0;1;0;0;0;48;15;0;1;1;0;0;0;1;0;24;39;61,5;2;32;3;2;4;6,3;
23/10/2021;Kevin De Bruyne;Sat;Away;14;0;0;0;0;0;0;0;0;17;1;0;0;0;0;0;0,6;4;0;14;16;87,5;2;12;1;0;0;6,5;
16/10/2021;Kevin De Bruyne;Sat;Home;83;1;0;0;0;1;1;0;0;75;11;0;1;0;0,3;0,3;0,3;4;0;56;68;82,4;7;52;7;1;1;8,2;
10/03/2021;Kevin De Bruyne;Sun;Away;90;1;0;0;0;5;1;0;0;55;6;0;0;2;0,5;0,5;0;4;0;29;45;64,4;8;36;4;0;0;7,7;
25/09/2021;Kevin De Bruyne;Sat;Away;80;0;0;0;0;4;0;0;0;52;15;2;0;2;0,2;0,2;0,3;4;0;23;37;62,2;4;32;3;1;2;7,5;
18/09/2021;Kevin De Bruyne;Sat;Home;26;0;0;0;0;1;0;0;0;22;3;0;0;0;0;0;0,1;1;0;11;18;61,1;2;19;1;2;2;6,9;
15/08/2021;Kevin De Bruyne;Sun;Away;12;0;0;0;0;1;1;0;0;21;1;0;0;0;0;0;0;2;0;10;17;58,8;2;15;2;1;2;6,7;
14/03/2022;Bernardo Silva;Mon;Away;90;0;0;0;0;2;0;0;0;68;5;0;0;2;1,1;1,1;0;3;0;49;57;86;2;52;12;1;2;6,9;
03/06/2022;Bernardo Silva;Sun;Home;90;0;1;0;0;3;0;0;0;90;15;1;2;2;0,4;0,4;0,4;6;1;69;78;88,5;2;64;12;3;5;8,6;
26/02/2022;Bernardo Silva;Sat;Away;90;0;0;0;0;3;2;0;0;48;6;1;2;0;0,3;0,3;0,1;5;0;32;38;84,2;2;35;14;1;3;7,7;
19/02/2022;Bernardo Silva;Sat;Home;90;0;0;0;0;4;0;0;0;48;20;2;0;0;0,2;0,2;0,1;7;0;33;39;84,6;0;31;7;1;2;7,2;
02/12/2022;Bernardo Silva;Sat;Away;74;0;0;0;0;2;0;0;0;49;10;1;1;1;0,2;0,2;0,2;5;0;39;42;92,9;1;42;9;1;1;7,8;
02/09/2022;Bernardo Silva;Wed;Home;90;0;0;0;0;1;1;0;0;52;6;0;1;2;0;0;0;0;0;42;45;93,3;0;42;6;0;0;7,4;
22/01/2022;Bernardo Silva;Sat;Away;90;0;0;0;0;1;0;0;0;79;13;0;1;0;0;0;0,2;6;0;61;73;83,6;5;65;13;4;5;8,2;
15/01/2022;Bernardo Silva;Sat;Home;90;0;0;0;0;0;0;0;0;66;24;4;3;0;0;0;0;1;0;49;53;92,5;1;49;8;0;1;7,3;
01/01/2022;Bernardo Silva;Sat;Away;90;0;0;0;0;2;0;1;0;59;11;1;1;0;0,1;0,1;0;4;1;38;46;82,6;2;43;10;2;3;8,2;
29/12/2021;Bernardo Silva;Wed;Away;90;0;0;0;0;0;0;0;0;92;3;1;0;1;0;0;0;2;0;78;87;89,7;0;80;19;1;1;7,3;
26/12/2021;Bernardo Silva;Sun;Home;90;0;0;0;0;0;0;0;0;64;10;1;0;0;0;0;0,3;5;2;50;55;90,9;3;48;7;3;4;7,3;
19/12/2021;Bernardo Silva;Sun;Away;90;0;0;0;0;1;0;1;0;75;5;3;1;2;0,1;0,1;0,5;6;1;60;65;92,3;1;51;10;1;1;8,3;
14/12/2021;Bernardo Silva;Tue;Home;45;0;0;0;0;1;0;0;0;39;9;1;0;0;0,6;0,6;0;5;1;33;36;91,7;0;31;4;1;2;7,2;
12/11/2021;Bernardo Silva;Sat;Home;90;0;0;0;0;3;2;0;0;70;16;0;0;1;0,5;0,5;0,1;4;0;53;63;84,1;2;51;15;1;3;7;
12/04/2021;Bernardo Silva;Sat;Away;90;2;0;0;0;3;2;0;0;73;8;1;0;1;0,4;0,4;0,8;7;1;59;65;90,8;12;69;8;2;3;9,4;1
12/01/2021;Bernardo Silva;Wed;Away;90;1;0;0;0;1;1;0;0;50;13;0;0;0;0,2;0,2;0,2;2;0;31;38;81,6;0;37;7;1;4;7,7;1
28/11/2021;Bernardo Silva;Sun;Home;90;0;0;0;0;1;1;0;0;78;10;1;0;0;0,2;0,2;0,1;4;0;61;69;88,4;4;63;13;1;1;7,5;
21/11/2021;Bernardo Silva;Sun;Home;90;1;0;0;0;2;2;0;0;93;14;2;2;2;0,6;0,6;0;2;0;77;82;93,9;4;79;15;2;2;8,7;
11/06/2021;Bernardo Silva;Sat;Away;90;1;0;0;0;2;1;1;0;81;42;2;0;3;0,4;0,4;0;4;1;64;68;94,1;1;58;9;3;4;8,5;
30/10/2021;Bernardo Silva;Sat;Home;90;0;0;0;0;0;0;1;0;78;14;1;1;1;0;0;0;1;0;64;72;88,9;3;63;20;1;1;6,8;
23/10/2021;Bernardo Silva;Sat;Away;90;0;1;0;0;1;0;0;0;59;23;1;2;4;0,1;0,1;0,1;6;2;39;44;88,6;3;44;8;5;7;8,4;
16/10/2021;Bernardo Silva;Sat;Home;89;1;0;0;0;3;1;0;0;82;27;2;1;5;0,5;0,5;0,4;4;0;62;66;93,9;3;54;12;2;3;8,4;1
10/03/2021;Bernardo Silva;Sun;Away;90;0;0;0;0;0;0;1;0;69;25;4;4;0;0;0;0,4;6;0;46;52;88,5;5;41;10;3;5;7,8;
25/09/2021;Bernardo Silva;Sat;Away;90;0;0;0;0;0;0;0;0;86;23;3;2;0;0;0;0;2;0;66;74;89,2;7;68;11;2;3;7,8;
18/09/2021;Bernardo Silva;Sat;Home;71;0;0;0;0;0;0;0;0;44;13;1;0;1;0;0;0;3;0;28;38;73,7;1;35;7;1;1;6,9;
09/11/2021;Bernardo Silva;Sat;Away;90;1;0;0;0;3;2;0;0;63;21;3;1;2;0,5;0,5;0,4;6;0;40;51;78,4;0;46;10;2;5;8,3;1
28/08/2021;Bernardo Silva;Sat;Home;57;0;0;0;0;1;1;0;0;33;7;1;0;0;0,1;0,1;0;2;1;26;30;86,7;1;23;4;0;0;6,9;
21/08/2021;Bernardo Silva;Sat;Home;90;0;0;0;0;1;0;0;0;66;18;2;1;0;0;0;0;1;0;46;55;83,6;3;55;7;3;6;7,5;
16/03/2022;Sadio Mane;Wed;Away;90;0;0;0;0;1;0;0;0;31;20;0;0;4;0,3;0,3;0;0;0;11;13;84,6;1;24;2;1;2;6,1;
